City,Metropoliton density,Total Transportartion Energy (MJ)
Sacramento,12.7,76673
Houston,9.5,71624
Pheonix,10.5,64641
san diego,13.1,67248
San Francisco,16,65890
Denver,12.8,68286
Los Angeles,23.9,62167
Detroit,12.8,62744
Boston,12,58391
Washington,13.7,60454
Chicago,16.6,56121
New York,19.2,51626
canberra,9.5,44995
Brisbane,9.8,41395
Melbourne,14.9,39277
adelaide,11.8,37103
Sydney,16.8,35074
Calgary,20.8,47133
Winnipeg,21.3,39366
Vancouver,20.8,37211
Ottawa,31.3,33562
Toronto,41.5,33613
Frankfurt,46.6,38293
Brussels,74.9,28895
Hamburg,39.8,36716
Zurich,47.1,25244
Stockholm,53.1,26817
Vienna,68.3,20603
Copenhagen,28.6,20385
Paris,46.1,24241
Munich,53.6,18107
Perth,10.6,41395
Amsterdam,48.8,19843
London,42.3,23374
Singapore,86.8,18079
Tokyo,71,18243
Hong Kong,300.5,9612
Kuala Lumpur ,58.7,20017
Jakarta,170.8,9072
Bangkok,149.3,18176
Seoul,244.8,9615
Manila,198,7335
Surabaya,176.9,5611